query_category,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,product_count
snacks,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,54213
snacks,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,45268
beverages,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,43601
beverages,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,38259
dairies,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,36110
dairies,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,21265
cereals,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,5876
snacks,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,5218
beverages,FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,4045
beverages,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,3643
snacks,FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,3348
cereals,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,3161
dairies,FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,2856
beverages,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,2749
snacks,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,2681
dairies,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,2357
snacks,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,2029
dairies,FRANCE,Carrefour,Carrefour,direct,2019
beverages,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,1779
dairies,FRANCE,Auchan,Auchan,direct,1580
dairies,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,1540
snacks,FRANCE,Auchan,Auchan,direct,1430
dairies,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,1348
snacks,US_CANADA,PepsiCo,PepsiCo,direct,1179
beverages,FRANCE,Auchan,Auchan,direct,1160
snacks,FRANCE,Carrefour,Carrefour,direct,1026
beverages,FRANCE,Nestlé,Nestlé,direct,1009
beverages,FRANCE,The Coca-Cola Company,The Coca-Cola Company,direct,963
beverages,US_CANADA,Wawa,Wawa,direct,906
snacks,FRANCE,Mondelēz International,Mondelēz International,direct,890
snacks,BENELUX|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,848
snacks,FRANCE,Haribo,Haribo,direct,837
beverages,BENELUX|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,823
beverages,US_CANADA,Manual review / complex ownership,Manual review / complex ownership,manual_review,790
dairies,FRANCE,Danone,Danone,market_scoped,782
snacks,US_CANADA,Mars,Mars,direct,772
dairies,FRANCE,Lactalis,Lactalis,direct,742
snacks,FRANCE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,717
dairies,FRANCE,Monoprix,Monoprix,direct,714
cereals,UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,713
dairies,FRANCE,Leclerc,Leclerc,direct,689
dairies,FRANCE,Danone,Danone,direct,687
beverages,FRANCE,Carrefour,Carrefour,direct,675
dairies,FRANCE,General Mills,General Mills,direct,648
snacks,US_CANADA,Mondelēz International,Mondelēz International,direct,648
snacks,US_CANADA,The Campbell's Company,The Campbell's Company,direct,646
snacks,FRANCE,Hema,Hema,direct,643
dairies,FRANCE,Leader Price,Leader Price,direct,630
dairies,FRANCE,Nestlé,Nestlé,direct,627
snacks,FRANCE,Leader Price,Leader Price,direct,578
snacks,FRANCE,Nestlé,Nestlé,direct,577
snacks,FRANCE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,551
snacks,FRANCE,Lidl,Lidl,direct,550
dairies,BENELUX|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,535
snacks,US_CANADA,Lindt & Sprüngli,Lindt & Sprüngli,direct,520
beverages,FRANCE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,518
snacks,FRANCE,PepsiCo,PepsiCo,direct,516
snacks,FRANCE,Ferrero,Ferrero,direct,490
snacks,FRANCE,Intermarché,Intermarché,direct,489
beverages,US_CANADA,Papa John's,Papa John's,direct,478
beverages,US_CANADA,Sonic,Sonic,direct,477
beverages,US_CANADA,TGI Friday's,TGI Friday's,direct,472
snacks,FRANCE|SOUTHERN_EUROPE,Carrefour,Carrefour,direct,470
snacks,FRANCE,Lindt & Sprüngli,Lindt & Sprüngli,direct,464
snacks,US_CANADA,General Mills,General Mills,direct,464
beverages,US_CANADA,Firehouse Subs,Firehouse Subs,direct,455
snacks,FRANCE,Cora,Cora,direct,443
dairies,FRANCE,Lidl,Lidl,direct,436
beverages,FRANCE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,430
beverages,FRANCE|SOUTHERN_EUROPE,Carrefour,Carrefour,direct,428
dairies,FRANCE,Bel Group,Bel Group,direct,418
beverages,US_CANADA,Red Robin,Red Robin,direct,406
snacks,FRANCE,Mars,Mars,direct,405
beverages,US_CANADA,PepsiCo,PepsiCo,direct,405
beverages,DACH|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,403
dairies,FRANCE,Savencia,Savencia,direct,399
snacks,FRANCE,St Michel,St Michel,direct,397
snacks,FRANCE,Monoprix,Monoprix,direct,393
beverages,US_CANADA,White Castle,White Castle,direct,390
beverages,FRANCE,Leader Price,Leader Price,direct,390
snacks,US_CANADA,Trader Joe's,Trader Joe's,direct,388
snacks,US_CANADA,Ferrero,Ferrero,direct,388
dairies,US_CANADA,Danone,Danone,direct,384
cereals,FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,382
beverages,FRANCE,Cora,Cora,direct,365
dairies,FRANCE,Other / not mapped to a company,General Mills,direct,360
snacks,US_CANADA,Ahold Delhaize,Ahold Delhaize,direct,355
dairies,FRANCE,Cora,Cora,direct,352
beverages,US_CANADA,Sheetz,Sheetz,direct,350
beverages,US_CANADA,Ahold Delhaize,Ahold Delhaize,direct,346
beverages,FRANCE,Tropicana Brands Group,Tropicana Brands Group,direct,342
beverages,FRANCE,Lidl,Lidl,direct,339
snacks,US_CANADA,Meijer,Meijer,direct,336
dairies,FRANCE,Netto,Netto,direct,336
dairies,US_CANADA,Walmart / Great Value,Walmart / Great Value,direct,329
snacks,UK_IE,PepsiCo,PepsiCo,direct,323
cereals,US_CANADA,General Mills,General Mills,direct,321
beverages,US_CANADA,Yum! Brands,Yum! Brands,direct,318
snacks,UK_IE,Tesco,Tesco,direct,310
cereals,FRANCE|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,310
snacks,US_CANADA,The Hershey Company,The Hershey Company,direct,309
beverages,FRANCE,Monoprix,Monoprix,direct,308
cereals,FRANCE,Mars,Mars,market_scoped,307
snacks,US_CANADA,Wegmans,Wegmans,direct,305
snacks,US_CANADA,Walmart / Great Value,Walmart / Great Value,direct,303
beverages,FRANCE,Danone,Danone,direct,303
cereals,US_CANADA,Ferrero,Ferrero,market_scoped,296
dairies,US_CANADA,Kroger,Kroger,direct,294
snacks,FRANCE|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,294
snacks,FRANCE,Picard,Picard,direct,289
cereals,FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,284
beverages,US_CANADA,The Coca-Cola Company,The Coca-Cola Company,direct,279
snacks,FRANCE,pladis,pladis,direct,277
snacks,FRANCE,Otsuka / Nutrition & Santé,Otsuka / Nutrition & Santé,direct,273
snacks,FRANCE,Belle France,Belle France,direct,269
beverages,US_CANADA,Kroger,Kroger,direct,268
beverages,US_CANADA,Walmart / Great Value,Walmart / Great Value,direct,267
snacks,FRANCE,Ecotone,Ecotone,direct,266
beverages,US_CANADA,Nestlé,Nestlé,direct,266
snacks,US_CANADA,Target,Target,direct,261
dairies,UK_IE,Tesco,Tesco,direct,259
dairies,UK_IE,Sainsbury's,Sainsbury's,direct,259
beverages,US_CANADA,Meijer,Meijer,direct,258
snacks,BENELUX|FRANCE,Carrefour,Carrefour,direct,255
dairies,FRANCE,Belle France,Belle France,direct,251
snacks,US_CANADA,The Hershey Company,The Hershey Company,market_scoped,251
snacks,US_CANADA,Kroger,Kroger,direct,243
dairies,FRANCE,Franprix,Franprix,direct,241
snacks,FRANCE,La Vie Claire,La Vie Claire,direct,240
dairies,US_CANADA,Lactalis,Lactalis,direct,239
snacks,FRANCE,Netto,Netto,direct,238
snacks,UK_IE,Sainsbury's,Sainsbury's,direct,235
snacks,FRANCE,Franprix,Franprix,direct,235
beverages,FRANCE,PepsiCo,PepsiCo,direct,232
dairies,US_CANADA,Meijer,Meijer,direct,227
dairies,UK_IE,Asda,Asda,direct,223
dairies,US_CANADA,Kraft Heinz,Kraft Heinz,direct,221
dairies,US_CANADA,Chobani,Chobani,direct,221
dairies,FRANCE|SOUTHERN_EUROPE,Carrefour,Carrefour,direct,220
snacks,FRANCE|UK_IE,Marks & Spencer,Marks & Spencer,direct,220
snacks,DACH|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,218
snacks,UK_IE,Asda,Asda,direct,215
dairies,US_CANADA,Trader Joe's,Trader Joe's,direct,215
dairies,US_CANADA,Whole Foods / Amazon,Whole Foods / Amazon,direct,215
beverages,FRANCE,Belle France,Belle France,direct,211
dairies,US_CANADA,Target,Target,direct,204
dairies,FRANCE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,197
dairies,US_CANADA,Ahold Delhaize,Ahold Delhaize,direct,195
dairies,FRANCE|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,194
dairies,UK_IE,Morrisons,Morrisons,direct,192
beverages,FRANCE,Léa Nature,Léa Nature,direct,192
snacks,US_CANADA,Whole Foods / Amazon,Whole Foods / Amazon,direct,192
dairies,US_CANADA,Wegmans,Wegmans,direct,191
snacks,UK_IE,Mars,Mars,direct,190
beverages,FRANCE,La Vie Claire,La Vie Claire,direct,189
snacks,UK_IE,Marks & Spencer,Marks & Spencer,direct,187
snacks,UK_IE,Morrisons,Morrisons,direct,184
beverages,US_CANADA,Ocean Spray,Ocean Spray,direct,184
snacks,FRANCE,Andros,Andros,direct,182
dairies,UK_IE,Lidl,Lidl,direct,179
dairies,FRANCE,La Vie Claire,La Vie Claire,direct,179
beverages,UK_IE,The Coca-Cola Company,The Coca-Cola Company,direct,175
snacks,UK_IE,Waitrose,Waitrose,direct,174
dairies,FRANCE,Other / not mapped to a company,Savencia,direct,174
beverages,FRANCE|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,173
beverages,FRANCE,Netto,Netto,direct,173
cereals,US_CANADA,PepsiCo,PepsiCo,direct,171
snacks,UK_IE,Aldi,Aldi,direct,168
snacks,US_CANADA,Hy-Vee,Hy-Vee,direct,167
beverages,US_CANADA,Wegmans,Wegmans,direct,167
beverages,FRANCE,Leclerc,Leclerc,direct,164
dairies,UK_IE,Waitrose,Waitrose,direct,164
beverages,FRANCE,Suntory Beverage & Food,Suntory Beverage & Food,market_scoped,162
beverages,US_CANADA,Trader Joe's,Trader Joe's,direct,161
snacks,UK_IE,Haribo,Haribo,direct,160
dairies,FRANCE,Biocoop,Biocoop,direct,159
snacks,FRANCE,Thiriet,Thiriet,direct,159
beverages,DACH|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,157
beverages,FRANCE,Franprix,Franprix,direct,157
snacks,UK_IE,Mondelēz International,Mondelēz International,market_scoped,155
snacks,FRANCE|DACH|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,155
beverages,FRANCE|DACH,Nestlé,Nestlé,direct,154
beverages,FRANCE,Ecotone,Ecotone,direct,152
snacks,US_CANADA,Grupo Bimbo,Grupo Bimbo,direct,151
dairies,FRANCE|DACH,Lidl,Lidl,direct,151
beverages,UK_IE,Sainsbury's,Sainsbury's,direct,151
beverages,US_CANADA,Arizona Beverages,Arizona Beverages,direct,149
cereals,FRANCE,Nestlé,Nestlé,direct,149
snacks,FRANCE,Aldi,Aldi,direct,145
snacks,US_CANADA|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,144
beverages,BENELUX|FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,144
dairies,BENELUX|FRANCE,Carrefour,Carrefour,direct,143
beverages,US_CANADA,H-E-B,H-E-B,direct,142
beverages,FRANCE|DACH|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,142
beverages,UK_IE,Tesco,Tesco,direct,136
beverages,US_CANADA,Danone,Danone,direct,135
snacks,FRANCE,Savencia,Savencia,direct,135
snacks,UK_IE,Lidl,Lidl,direct,135
snacks,UK_IE,pladis,pladis,direct,134
snacks,FRANCE,Marks & Spencer,Marks & Spencer,direct,134
beverages,US_CANADA,Whole Foods / Amazon,Whole Foods / Amazon,direct,133
dairies,DACH|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,132
cereals,US_CANADA,Ferrero,Ferrero,direct,130
beverages,FRANCE|UK_IE,Marks & Spencer,Marks & Spencer,direct,130
snacks,US_CANADA,H-E-B,H-E-B,direct,130
snacks,FRANCE|SOUTHERN_EUROPE,Mondelēz International,Mondelēz International,direct,128
snacks,NORDICS|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,127
snacks,US_CANADA,Tops Friendly Markets,Tops Friendly Markets,direct,124
dairies,UK_IE,Aldi,Aldi,direct,124
dairies,UK_IE,Marks & Spencer,Marks & Spencer,direct,124
cereals,BENELUX|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,120
snacks,FRANCE|US_CANADA,Mars,Mars,direct,119
snacks,US_CANADA,Ferrero,Ferrero,market_scoped,119
beverages,FRANCE|DACH,The Coca-Cola Company,The Coca-Cola Company,direct,117
snacks,FRANCE|DACH,Mondelēz International,Mondelēz International,direct,115
snacks,FRANCE|US_CANADA,Mondelēz International,Mondelēz International,direct,115
dairies,US_CANADA,General Mills,General Mills,direct,113
dairies,BENELUX|FRANCE,Ahold Delhaize,Ahold Delhaize,direct,113
beverages,UK_IE,Asda,Asda,direct,113
cereals,US_CANADA,General Mills,General Mills,market_scoped,111
cereals,US_CANADA,Meijer,Meijer,direct,111
cereals,UK_IE,Mars,Mars,market_scoped,111
snacks,FRANCE,Nestlé,Nestlé,market_scoped,110
beverages,DACH|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,110
snacks,SOUTHERN_EUROPE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,110
cereals,US_CANADA,Walmart / Great Value,Walmart / Great Value,direct,109
cereals,FRANCE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,108
snacks,DACH|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,108
beverages,US_CANADA,Keurig Dr Pepper,Keurig Dr Pepper,market_scoped,107
dairies,US_CANADA,Hy-Vee,Hy-Vee,direct,107
snacks,FRANCE|DACH,Coop,Coop,direct,107
snacks,FRANCE,Moulin des Moines,Moulin des Moines,direct,107
dairies,FRANCE,Aldi,Aldi,direct,107
dairies,FRANCE|DACH,Coop,Coop,direct,106
snacks,US_CANADA,Haribo,Haribo,direct,106
beverages,UK_IE,Marks & Spencer,Marks & Spencer,direct,106
beverages,US_CANADA|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,106
snacks,BENELUX|FRANCE,Ahold Delhaize,Ahold Delhaize,direct,105
beverages,US_CANADA,Tropicana Brands Group,Tropicana Brands Group,direct,105
beverages,FRANCE|DACH,Danone,Danone,direct,103
snacks,BENELUX|FRANCE,Mondelēz International,Mondelēz International,direct,103
dairies,FRANCE,Andros,Andros,direct,103
beverages,US_CANADA,Hy-Vee,Hy-Vee,direct,103
snacks,FRANCE,Leclerc,Leclerc,direct,102
snacks,DACH|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,100
dairies,FRANCE,Ecotone,Ecotone,direct,99
beverages,BENELUX|FRANCE,The Coca-Cola Company,The Coca-Cola Company,direct,99
dairies,US_CANADA,H-E-B,H-E-B,direct,98
beverages,US_CANADA,Associated Wholesale Grocers,Associated Wholesale Grocers,direct,98
cereals,US_CANADA,Post Holdings,Post Holdings,direct,97
beverages,FRANCE,Hema,Hema,direct,97
dairies,FRANCE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,95
beverages,FRANCE,Other / not mapped to a company,Nestlé,direct,95
beverages,UK_IE,Morrisons,Morrisons,direct,94
snacks,BENELUX|FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,94
beverages,US_CANADA,The Campbell's Company,The Campbell's Company,direct,94
dairies,US_CANADA,Associated Wholesale Grocers,Associated Wholesale Grocers,direct,93
dairies,US_CANADA,Wakefern / ShopRite,Wakefern / ShopRite,direct,92
beverages,US_CANADA,Target,Target,direct,92
cereals,FRANCE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,92
beverages,UK_IE,Nestlé,Nestlé,direct,92
snacks,US_CANADA,Giant Eagle,Giant Eagle,direct,91
beverages,BENELUX|FRANCE,Nestlé,Nestlé,direct,91
dairies,FRANCE,Dia,Dia,direct,90
snacks,FRANCE,Perfetti Van Melle,Perfetti Van Melle,direct,90
dairies,FRANCE|DACH,Migros,Migros,direct,90
cereals,FRANCE,Auchan,Auchan,direct,90
beverages,US_CANADA,Wakefern / ShopRite,Wakefern / ShopRite,direct,88
snacks,FRANCE|DACH,Haribo,Haribo,direct,88
snacks,FRANCE|DACH,Lindt & Sprüngli,Lindt & Sprüngli,direct,88
beverages,FRANCE,Marks & Spencer,Marks & Spencer,direct,86
beverages,FRANCE|SOUTHERN_EUROPE,Nestlé,Nestlé,direct,86
snacks,FRANCE|DACH,Mars,Mars,direct,86
snacks,UK_IE,Nestlé,Nestlé,direct,86
dairies,FRANCE,Other / not mapped to a company,Bel Group,direct,85
snacks,FRANCE|DACH,Nestlé,Nestlé,direct,85
dairies,US_CANADA,Saputo,Saputo,direct,83
dairies,FRANCE,Intermarché,Intermarché,direct,82
snacks,FRANCE,Léa Nature,Léa Nature,direct,82
snacks,FRANCE|DACH,Ferrero,Ferrero,direct,82
cereals,FRANCE|SOUTHERN_EUROPE,Carrefour,Carrefour,direct,82
snacks,UK_IE,Mondelēz International,Mondelēz International,direct,81
snacks,FRANCE|US_CANADA,Manual review / complex ownership,Manual review / complex ownership,manual_review,81
snacks,UK_IE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,80
snacks,FRANCE|NORDICS,Other / not mapped to a company,Other / not mapped to a company,unresolved,80
snacks,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,79
snacks,SOUTHERN_EUROPE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,79
snacks,FRANCE,Dia,Dia,direct,78
cereals,FRANCE,Ecotone,Ecotone,direct,78
dairies,DACH|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,77
dairies,FRANCE|SOUTHERN_EUROPE,Danone,Danone,market_scoped,77
cereals,US_CANADA,Kroger,Kroger,direct,76
dairies,FRANCE,Intermarché,Manual review / complex ownership,manual_review,76
cereals,FRANCE,Intermarché,Intermarché,direct,76
dairies,US_CANADA,Tops Friendly Markets,Tops Friendly Markets,direct,76
snacks,US_CANADA,Associated Wholesale Grocers,Associated Wholesale Grocers,direct,75
beverages,FRANCE|DACH,Lidl,Lidl,direct,74
snacks,US_CANADA,Other / not mapped to a company,Manual review / complex ownership,manual_review,74
beverages,BENELUX|FRANCE,Ahold Delhaize,Ahold Delhaize,direct,74
beverages,FRANCE|DACH,Manual review / complex ownership,Manual review / complex ownership,manual_review,74
cereals,US_CANADA,Wegmans,Wegmans,direct,73
cereals,FRANCE,Leader Price,Leader Price,direct,73
cereals,UK_IE,Asda,Asda,direct,73
dairies,FRANCE|UK_IE,Marks & Spencer,Marks & Spencer,direct,73
dairies,US_CANADA,Giant Eagle,Giant Eagle,direct,72
beverages,BENELUX|FRANCE,Carrefour,Carrefour,direct,71
beverages,UK_IE,Aldi,Aldi,direct,71
beverages,US_CANADA,Giant Eagle,Giant Eagle,direct,70
snacks,FRANCE|DACH|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,70
snacks,UK_IE,Lotus Bakeries,Lotus Bakeries,direct,70
dairies,FRANCE,Manual review / complex ownership,Système U,direct,70
dairies,UK_IE,Arla,Arla,direct,70
beverages,FRANCE|DACH,Coop,Coop,direct,69
snacks,US_CANADA,pladis,pladis,direct,68
beverages,FRANCE,Arizona Beverages,Arizona Beverages,direct,68
cereals,FRANCE,Carrefour,Carrefour,direct,68
snacks,FRANCE|SOUTHERN_EUROPE,Nestlé,Nestlé,direct,67
dairies,BENELUX|FRANCE,Danone,Danone,market_scoped,67
dairies,UK_IE,Danone,Danone,direct,66
snacks,FRANCE|DACH,Migros,Migros,direct,66
snacks,FRANCE|DACH,Alnatura,Alnatura,direct,66
beverages,FRANCE|SOUTHERN_EUROPE,The Coca-Cola Company,The Coca-Cola Company,direct,66
beverages,BENELUX|FRANCE,Manual review / complex ownership,Manual review / complex ownership,manual_review,66
dairies,US_CANADA,Bel Group,Bel Group,direct,65
snacks,FRANCE,Biocoop,Biocoop,direct,65
dairies,US_CANADA,Aldi,Aldi,direct,65
beverages,FRANCE,Intermarché,Intermarché,direct,65
beverages,UK_IE,Waitrose,Waitrose,direct,64
dairies,FRANCE|DACH|SOUTHERN_EUROPE,Other / not mapped to a company,Other / not mapped to a company,unresolved,64
dairies,FRANCE,Marks & Spencer,Marks & Spencer,direct,64
cereals,BENELUX|FRANCE,Mars,Mars,market_scoped,64
cereals,FRANCE,PepsiCo,PepsiCo,direct,64
dairies,FRANCE|SOUTHERN_EUROPE,Lactalis,Lactalis,direct,64
beverages,UK_IE,Lidl,Lidl,direct,64
snacks,FRANCE|DACH,Lidl,Lidl,direct,63
beverages,FRANCE,PepsiCo,PepsiCo,market_scoped,63
snacks,FRANCE,Mars,Mars,market_scoped,63
snacks,US_CANADA,Aldi,Aldi,direct,63
dairies,DACH|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,62
cereals,FRANCE|SOUTHERN_EUROPE,Mars,Mars,market_scoped,61
beverages,FRANCE,Dia,Dia,direct,60
cereals,US_CANADA,Ahold Delhaize,Ahold Delhaize,direct,60
cereals,FRANCE,La Vie Claire,La Vie Claire,direct,60
cereals,FRANCE|US_CANADA,Manual review / complex ownership,Manual review / complex ownership,manual_review,60
beverages,SOUTHERN_EUROPE|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,59
snacks,FRANCE|SOUTHERN_EUROPE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,59
snacks,FRANCE,Mondelēz International,Mondelēz International,market_scoped,59
dairies,US_CANADA|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,58
cereals,FRANCE,Cora,Cora,direct,58
beverages,UK_IE,PepsiCo,PepsiCo,direct,58
snacks,FRANCE|UK_IE,pladis,pladis,direct,58
dairies,FRANCE|SOUTHERN_EUROPE,Lidl,Lidl,direct,58
snacks,FRANCE|UK_IE,Tesco,Tesco,direct,57
snacks,US_CANADA,Nestlé,Nestlé,direct,56
cereals,UK_IE,Tesco,Tesco,direct,56
dairies,FRANCE,Arla,Arla,direct,56
dairies,FRANCE,Other / not mapped to a company,Manual review / complex ownership,manual_review,55
dairies,FRANCE|SOUTHERN_EUROPE,Nestlé,Nestlé,direct,55
dairies,BENELUX|FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,55
dairies,BENELUX|FRANCE,Danone,Danone,direct,55
snacks,US_CANADA,The Coca-Cola Company,Other / not mapped to a company,unresolved,55
snacks,FRANCE,General Mills,General Mills,direct,54
snacks,BENELUX|FRANCE,PepsiCo,PepsiCo,direct,54
snacks,US_CANADA,Other / not mapped to a company,Target,direct,53
beverages,FRANCE|DACH|UK_IE,Other / not mapped to a company,Other / not mapped to a company,unresolved,53
beverages,FRANCE|NORDICS,Other / not mapped to a company,Other / not mapped to a company,unresolved,52
cereals,US_CANADA,Trader Joe's,Trader Joe's,direct,52
beverages,FRANCE,Biocoop,Biocoop,direct,52
dairies,FRANCE|DACH,Nestlé,Nestlé,direct,52
dairies,FRANCE,Coop,Coop,direct,52
cereals,UK_IE,Morrisons,Morrisons,direct,52
beverages,US_CANADA,Kraft Heinz,Kraft Heinz,direct,51
cereals,UK_IE,Sainsbury's,Sainsbury's,direct,51
snacks,FRANCE|UK_IE,Sainsbury's,Sainsbury's,direct,51
beverages,SOUTHERN_EUROPE|US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,51
cereals,FRANCE|DACH,Mars,Mars,market_scoped,51
snacks,US_CANADA,Kraft Heinz,Kraft Heinz,direct,50
beverages,FRANCE|SOUTHERN_EUROPE,Lidl,Lidl,direct,50
cereals,UK_IE,Nestlé,Nestlé,direct,50
snacks,FRANCE|SOUTHERN_EUROPE,Haribo,Haribo,direct,50
cereals,FRANCE,Nestlé,Manual review / complex ownership,manual_review,50
snacks,FRANCE,Coop,Coop,direct,49
beverages,FRANCE|UK_IE,The Coca-Cola Company,The Coca-Cola Company,direct,49
beverages,FRANCE|UK_IE,Tesco,Tesco,direct,49
beverages,FRANCE,Capri Sun Group / Coca-Cola Europacific Partners,Capri Sun Group / Coca-Cola Europacific Partners,market_scoped,49
dairies,US_CANADA,Mondelēz International,Mondelēz International,direct,48
dairies,US_CANADA,Danone (Dannon in US),Danone (Dannon in US),market_scoped,48
snacks,UK_IE,Coop,Coop,direct,48
snacks,FRANCE|SOUTHERN_EUROPE,Auchan,Auchan,direct,47
dairies,FRANCE|UK_IE,Tesco,Tesco,direct,47
beverages,US_CANADA,The Coca-Cola Company,Other / not mapped to a company,unresolved,47
snacks,FRANCE|DACH|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,46
beverages,FRANCE|DACH,PepsiCo,PepsiCo,direct,46
dairies,FRANCE,Other / not mapped to a company,Lactalis,direct,46
snacks,UK_IE,Lindt & Sprüngli,Lindt & Sprüngli,direct,46
snacks,FRANCE,Other / not mapped to a company,Mondelēz International,direct,46
cereals,UK_IE,Waitrose,Waitrose,direct,46
beverages,NORDICS|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,45
beverages,US_CANADA,Tops Friendly Markets,Tops Friendly Markets,direct,45
beverages,FRANCE|DACH,Alnatura,Alnatura,direct,45
cereals,UK_IE,PepsiCo,PepsiCo,direct,44
dairies,UK_IE,Danone,Danone,market_scoped,44
cereals,UK_IE,Marks & Spencer,Marks & Spencer,direct,44
snacks,US_CANADA,Wakefern / ShopRite,Wakefern / ShopRite,direct,43
dairies,FRANCE,Mondelēz International,Mondelēz International,direct,43
snacks,BENELUX|FRANCE|SOUTHERN_EUROPE,Carrefour,Carrefour,direct,43
cereals,FRANCE,Moulin des Moines,Moulin des Moines,direct,42
cereals,FRANCE,Leclerc,Leclerc,direct,42
snacks,UK_IE,Ferrero,Ferrero,direct,42
dairies,US_CANADA,Nestlé,Nestlé,direct,42
beverages,US_CANADA,LIPTON Teas and Infusions / Ekaterra,LIPTON Teas and Infusions / Ekaterra,recently_sold_or_spun_off,41
snacks,US_CANADA,The Coca-Cola Company,The Coca-Cola Company,direct,41
snacks,FRANCE,The Hershey Company,The Hershey Company,direct,41
cereals,FRANCE|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,41
beverages,FRANCE,Aldi,Aldi,direct,40
dairies,US_CANADA,Arla,Arla,direct,40
beverages,FRANCE|UK_IE,Sainsbury's,Sainsbury's,direct,40
